0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-17, -52, 9, -23, -18, -20, 38, 5, -12, -13, 21, -64, -9, -3, 86, 25, 54, -5, 5, 22, 36, 6, -21, -2, 46, -26, -58, 88, -16, -101, 7, -53, -27, -44, -55, -4, -12, -103, 18, 0, 55, -18, 50, 4, 1, 17, -29, -37, 36, 26, -129, -39, 7, 40, 17, -32, 24, 30, -16, 10, 25, -11, 13, -44, 1, 54, 25, -23, 18, -25, 32, 0, -25, 32, -37, 39, -16, -27, 57, 40, -64, 49, 7, 27, -37, -28, 10, 15, 16, -110, -5, -62, 36, 6, -32, -1, 8, 5, -94, -21, 12, -26, 19, 42, 42, -20, -23, 6, 40, -6, -2, 30, -56, -16, -52, -7, 36, -61, 0, -20, -38, 8, -11, -28, 21, -3, -18, 60
10, -32, 11, 16, -7, -14, 48, 52, -3, 0, -12, -30, -15, -16, 65, 2, 12, -13, -28, 23, -32, -4, 2, 2, 19, 4, -48, 40, -19, -8, 7, -3, -13, -15, -14, 19, -6, -92, 8, 16, 39, 3, 26, 17, -7, 3, -2, -9, 27, 8, -82, -9, 17, 8, 9, 8, 22, 52, -3, -10, 33, 21, 28, 23, 7, 13, -13, 2, -3, -4, 2, -2, -8, 14, -25, -6, -19, -12, -3, 0, -15, 4, 37, 32, -20, -20, 8, -17, -8, -83, 17, -38, 10, 4, -25, 0, -13, -27, -36, -51, -11, -9, -5, 26, 12, -18, 14, 21, -7, -7, -21, 29, -6, -20, -34, 20, 0, -32, 30, 4, -15, -4, 41, 2, 14, 0, 11, 62
9, -42, 6, 9, -16, -15, -25, 2, -4, 14, 28, -71, 10, 13, 20, -20, 40, -43, 0, 34, -2, -7, -15, 34, 7, -24, -11, 49, -4, -11, 13, 3, -30, -28, -39, 31, 12, -3, 5, 23, 10, -11, -35, 52, 23, 10, 2, -6, 23, 3, -43, 5, 6, 20, 13, -17, 24, 8, 6, -9, -5, -21, 14, 9, -53, -21, 0, -6, 44, -33, 31, 10, -44, -10, -29, -25, -11, -2, 6, 65, -61, -1, -24, -18, -31, -2, 45, 11, 18, -36, 57, -60, 21, -10, -11, 3, 2, -8, -15, -23, 34, -11, -3, -16, 50, -23, 6, -2, 34, 6, 16, -35, -22, 9, -7, 4, 13, -26, -10, -44, -19, 11, -24, -2, 51, 21, -33, 45
-4, 0, -5, 8, -2, -2, -1, 23, -2, -10, -5, 1, 2, -1, 12, -6, 0, -1, 2, 3, -8, 2, -1, -4, 9, 9, 0, 11, -1, 14, -8, -9, 1, -2, 5, -9, -1, -1, -3, 3, 0, -3, 9, -1, -6, -8, 0, 4, 8, 7, -14, 11, -2, -2, 5, -2, 0, 11, 9, 5, 5, 0, 11, 0, 0, -1, 1, -2, 6, 9, 12, -2, 8, 9, 11, 3, -3, -3, 3, 24, -2, -6, 0, 9, -1, 3, -2, 1, -1, -11, 4, -10, 8, 8, 2, -3, -7, -8, -4, 5, 1, 0, -4, -3, 3, 5, -6, -4, -10, -8, -11, 7, 10, -13, -16, -1, 7, -9, -2, 2, -6, -1, 10, 5, -3, -5, 0, 24
13, -11, 5, -18, 7, -2, 5, -7, 12, 19, 5, -15, 7, 6, 7, 7, 7, 1, 10, -17, -1, 2, -5, 0, 9, -9, -2, -13, 3, -4, -10, -19, 4, -2, 3, -5, 6, -7, 9, -2, 8, 7, 15, -8, -7, 9, -2, -5, -1, 3, -29, -14, 2, -1, 2, -7, -2, 13, -14, -1, 9, 9, -1, -5, 2, 10, 1, 9, 2, -7, 11, -3, -7, 7, 3, 13, 11, 5, 7, -18, 3, 5, -3, 8, -5, -2, -3, 0, 4, 4, -18, 4, 1, 7, -3, 4, 14, 5, -30, 8, 3, -5, -1, 12, 10, -6, 0, 11, 6, 1, 4, 2, -5, 1, -41, -6, -5, 11, 11, -2, -12, 5, -3, -7, 1, -6, 13, 10
4, 2, -4, 1, -2, -2, 4, 0, -1, 1, 0, 4, -6, 5, 1, 0, 2, 2, -14, 4, 4, 1, -3, 0, 10, -3, 2, -1, 0, -1, 1, -8, -6, -3, 4, -13, -3, 0, 0, 3, 4, 5, 8, 1, 0, -8, -1, -3, -1, 1, -12, -4, 2, 0, 1, -6, 9, 1, 3, -9, 3, -9, 3, 2, 4, -8, -4, 3, -1, 3, 0, 4, -2, 2, -1, 7, -6, -4, -8, 5, -1, 3, 8, 1, 5, 3, -2, 1, 1, -11, 0, -3, -1, 7, 4, -1, 1, 6, 2, 2, -2, -3, 1, 3, -3, -1, 4, 0, 2, -1, -2, 2, 0, -9, -4, 0, -2, -25, 2, 6, -3, 3, 5, 5, 1, 0, 4, 9
