4, 27
4, 24
4, 20
4, 19
4, 16
4, 15
4, 14
4, 10
4, 6
4, 60
4, 57
4, 56
4, 53
4, 49
4, 48
4, 42
4, 40
4, 92
4, 83
4, 81
4, 79
4, 78
4, 75
4, 73
4, 70
4, 66
4, 65
4, 127
4, 124
4, 116
4, 111
4, 108
4, 104
4, 103
5, 7
5, 62
5, 54
5, 52
5, 43
5, 38
5, 82
5, 122
5, 118
5, 107
6, 30
6, 23
6, 2
6, 45
6, 39
6, 35
6, 90
6, 88
6, 86
6, 68
6, 100
10, 27
10, 24
10, 19
10, 16
10, 14
10, 6
10, 60
10, 57
10, 56
10, 49
10, 48
10, 42
10, 40
10, 92
10, 83
10, 79
10, 78
10, 75
10, 73
10, 70
10, 65
10, 127
10, 124
10, 121
10, 116
10, 104
10, 103
11, 10
11, 7
11, 62
11, 54
11, 53
11, 108
12, 81
12, 68
12, 100
13, 86
16, 27
16, 24
16, 16
16, 14
16, 60
16, 57
16, 48
16, 40
16, 83
16, 79
16, 127
16, 124
16, 116
16, 104
16, 103
19, 6
19, 62
19, 56
19, 42
22, 27
22, 14
22, 40
22, 127
23, 83
28, 14
28, 127
29, 27
29, 16
29, 45
29, 42
29, 36
29, 65
30, 9
30, 57
36, 42
36, 40
42, 83
